SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,68,85,182,21,42,True,5489,18332,5489,18332,33,True,False,432641,196020,236296,32676277-4ce9-4b21-a032-d1ea154fb866
True,68,85,182,21,41,True,101,130,105,134,38,True,False,1270,491,769,76a683ac-6fd2-4e5c-9568-b06f6b478d1b
True,68,85,182,21,42,True,13668,52538,13668,52538,35,True,False,2552912,1247345,1302376,2b06f090-7437-477b-9b23-dc39b40d5730
True,72,90,193,22,45,True,617,1646,625,1660,43,True,False,15241,6112,9109,7f9c3c1c-e1ce-4faa-8f38-7a6e57e6df70
True,72,90,193,22,45,True,9305,25020,11303,31402,26,True,False,1601210,605022,996166,8e85e002-d37c-47c7-ba02-35dde38227b7
True,72,90,193,22,45,True,11995,39599,12883,43668,34,True,False,1792526,802279,990046,0f37d638-776f-4bb5-ba82-5fd077725003
True,76,95,204,23,46,True,85,87,91,93,45,True,False,1069,436,601,afd24cb5-3f37-4b9a-a65e-4d30be5a962f
True,76,95,204,23,46,True,6395,18015,7687,22097,46,True,False,764758,307173,457562,b1436e4a-19fe-4f28-8350-9b342c045065
True,76,95,203,23,47,True,15804,57369,15807,57372,37,True,False,1497328,746243,751037,7e51f096-709a-493d-88e1-ba7988b47358

True,80,100,213,25,50,True,94,93,95,94,50,True,False,1416,544,849,7dd1b3d0-4166-4110-ab04-168c49da77c8
True,80,100,215,25,50,True,374,644,374,644,41,True,False,7911,4260,3631,cea1e5f9-3fc4-4959-ae75-9ad1ccbdb338
True,80,100,215,25,50,True,1112,2656,1976,4815,58,True,False,69949,18720,51186,f162939b-1440-401c-af90-697ba334405f
