SatisfiesConds,Places,Transitions,Arcs,Variables,Conditions,Boundedness,LtsStates,LtsArcs,CgRefStates,CgRefArcs,DeadTransitions,Deadlocks,Soundness,VerificationTime,LtsTime,CgRefTime,Id
True,68,85,182,21,42,True,13668,52538,0,0,35,True,False,1146091,1146091,0,2b06f090-7437-477b-9b23-dc39b40d5730
True,68,85,182,21,42,True,5489,18332,0,0,33,True,False,185905,185905,0,32676277-4ce9-4b21-a032-d1ea154fb866
True,68,85,182,21,41,True,101,130,0,0,38,True,False,481,481,0,76a683ac-6fd2-4e5c-9568-b06f6b478d1b
True,72,90,193,22,45,True,617,1646,0,0,43,True,False,6224,6224,0,7f9c3c1c-e1ce-4faa-8f38-7a6e57e6df70
True,72,90,193,22,45,True,9305,25020,0,0,26,True,False,502605,502605,0,8e85e002-d37c-47c7-ba02-35dde38227b7
True,72,90,193,22,45,True,11995,39599,0,0,34,True,False,728242,728242,0,0f37d638-776f-4bb5-ba82-5fd077725003
True,76,95,203,23,47,True,15804,57369,0,0,37,True,False,641420,641420,0,7e51f096-709a-493d-88e1-ba7988b47358
True,76,95,204,23,46,True,85,87,0,0,45,True,False,478,478,0,afd24cb5-3f37-4b9a-a65e-4d30be5a962f
True,76,95,204,23,46,True,6395,18015,0,0,46,True,False,289789,289789,0,b1436e4a-19fe-4f28-8350-9b342c045065
True,80,100,213,25,50,True,94,93,0,0,50,True,False,528,528,0,7dd1b3d0-4166-4110-ab04-168c49da77c8
True,80,100,215,25,50,True,374,644,0,0,41,True,False,3704,3704,0,cea1e5f9-3fc4-4959-ae75-9ad1ccbdb338
True,80,100,215,25,50,True,1112,2656,0,0,58,True,False,16581,16581,0,f162939b-1440-401c-af90-697ba334405f
